discriminator_type,setting,guidance_strength,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
lstm,creative,0.5,19,250,62.5,4.0,51,1.0,0.876,4.374169143460458,3.1444050122957683
lstm,creative,0.5,20,250,62.5,4.0,46,1.0,0.948,3.9078809061805906,2.9733648129644488
lstm,creative,0.5,21,250,62.5,4.0,49,1.0,0.924,3.928723799231576,3.046941960821663
lstm,creative,0.5,22,250,62.5,4.0,51,1.0,0.796,5.192977280661844,3.3850375791374208
lstm,creative,0.5,23,250,62.5,4.0,51,1.0,0.92,3.8708875309639383,3.057847183951734
lstm,creative,0.5,24,250,62.5,4.0,52,1.0,0.888,4.348597870886287,3.112807461362153
lstm,creative,0.5,25,250,62.5,4.0,52,1.0,0.84,4.805103187538078,3.2471380205806413
lstm,creative,0.5,26,250,62.5,4.0,52,1.0,0.844,4.421475687937361,3.286311876517811
lstm,creative,0.5,27,250,62.5,4.0,51,1.0,0.884,4.250836197076583,3.110345867258984
lstm,creative,0.5,28,250,62.5,4.0,51,1.0,0.912,4.338161876884485,3.0379627227215966
lstm,creative,0.5,29,250,62.5,4.0,50,1.0,0.852,4.248982662816007,3.1939780557510558
lstm,creative,0.5,30,250,62.5,4.0,47,1.0,0.724,4.447871293399038,3.3881912939023806
